layer,uniprot,n,n_actives,n_decoys,source_n,source_n_actives,source_n_decoys,target_dir,status,reason,pocket_source,n_chunks,sampling_seed,seed_base,lane
L1,P00533,250,5,245,23817,467,23350,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00533,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00533/P00533_pocket.lmdb,10,5704846701637384861,20260908,0.0
L1,P00734,250,5,245,7599,149,7450,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00734,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00734/P00734_pocket.lmdb,10,16878322796142958052,20260908,1.0
L1,P00742,250,5,245,1020,20,1000,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00742,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00742/P00742_pocket.lmdb,10,15712326524092218587,20260908,2.0
L1,P00915,250,5,245,8619,169,8450,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00915,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00915/P00915_pocket.lmdb,10,7100942366799429692,20260908,3.0
L1,P00918,250,5,245,12495,245,12250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00918,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00918/P00918_pocket.lmdb,10,7680177981438887846,20260908,4.0
L1,P00956,250,5,245,3978,78,3900,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00956,unavailable,FileNotFoundError: Pocket absent from dataset and source archive,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00956/P00956_pocket.lmdb,10,7127519537338153560,20260908,
L1,P01116,250,5,245,2601,51,2550,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P01116,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P01116/P01116_pocket.lmdb,10,8277304011532950821,20260908,5.0
L1,P03372,250,5,245,2040,40,2000,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P03372,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P03372/P03372_pocket.lmdb,10,8800095295535359741,20260908,6.0
L1,P04049,250,5,245,867,17,850,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P04049,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P04049/P04049_pocket.lmdb,10,21875239039796402,20260908,7.0
L1,P04626,250,5,245,4896,96,4800,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P04626,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P04626/P04626_pocket.lmdb,10,4162486438207447134,20260908,0.0
L1,P04629,250,5,245,3264,64,3200,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P04629,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P04629/P04629_pocket.lmdb,10,3624201180838742463,20260908,1.0
L1,P04798,250,5,245,3213,63,3150,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P04798,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P04798/P04798_pocket.lmdb,10,6473479860702212012,20260908,2.0
L1,P05089,250,5,245,2907,57,2850,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P05089,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P05089/P05089_pocket.lmdb,10,17685934882627473600,20260908,3.0
L1,P05177,250,5,245,2142,42,2100,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P05177,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P05177/P05177_pocket.lmdb,10,11778505131150932586,20260908,4.0
L1,P05771,250,5,245,561,11,550,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P05771,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P05771/P05771_pocket.lmdb,10,6197142733332020394,20260908,5.0
L1,P05979,250,5,245,1530,30,1500,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P05979,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P05979/P05979_pocket.lmdb,10,11683121474388225518,20260908,6.0
L1,P06213,250,5,245,663,13,650,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P06213,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P06213/P06213_pocket.lmdb,10,15379217132958402084,20260908,7.0
L1,P06239,250,5,245,3468,68,3400,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P06239,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P06239/P06239_pocket.lmdb,10,16138423187341476189,20260908,0.0
L1,P06276,250,5,245,2499,49,2450,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P06276,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P06276/P06276_pocket.lmdb,10,16664993864633440989,20260908,1.0
L1,P06493,250,5,245,1887,37,1850,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P06493,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P06493/P06493_pocket.lmdb,10,16769607575808996320,20260908,2.0
L1,P07333,250,5,245,5253,103,5150,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P07333,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P07333/P07333_pocket.lmdb,10,6155119062903632589,20260908,3.0
L1,P07550,250,5,245,612,12,600,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P07550,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P07550/P07550_pocket.lmdb,10,2277989103569987340,20260908,4.0
L1,P07711,250,5,245,2091,41,2050,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P07711,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P07711/P07711_pocket.lmdb,10,17649045249265424152,20260908,5.0
L1,P07900,250,5,245,1479,29,1450,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P07900,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P07900/P07900_pocket.lmdb,10,4875815789671592610,20260908,6.0
L1,P07947,250,5,245,2244,44,2200,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P07947,unavailable,FileNotFoundError: Pocket absent from dataset and source archive,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P07947/P07947_pocket.lmdb,10,2832288352819941168,20260908,
L1,P07948,250,5,245,663,13,650,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P07948,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P07948/P07948_pocket.lmdb,10,10355028095957218404,20260908,7.0
L1,P07949,250,5,245,2091,41,2050,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P07949,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P07949/P07949_pocket.lmdb,10,5627911111182408890,20260908,0.0
L1,P08069,250,5,245,2040,40,2000,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P08069,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P08069/P08069_pocket.lmdb,10,10893460296349393909,20260908,1.0
L1,P08173,250,5,245,663,13,650,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P08173,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P08173/P08173_pocket.lmdb,10,5465217244046999189,20260908,2.0
L1,P08238,250,5,245,1377,27,1350,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P08238,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P08238/P08238_pocket.lmdb,10,6683123684947065176,20260908,3.0
L1,P08246,250,5,245,1479,29,1450,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P08246,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P08246/P08246_pocket.lmdb,10,4861095587377095228,20260908,4.0
L1,P08253,250,5,245,714,14,700,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P08253,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P08253/P08253_pocket.lmdb,10,6141940295421053043,20260908,5.0
L1,P08581,250,5,245,3366,66,3300,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P08581,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P08581/P08581_pocket.lmdb,10,6315262882344631516,20260908,6.0
L1,P08908,250,5,245,2397,47,2350,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P08908,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P08908/P08908_pocket.lmdb,10,15281642556051947494,20260908,7.0
L1,P08913,250,5,245,1122,22,1100,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P08913,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P08913/P08913_pocket.lmdb,10,2501665888209328273,20260908,0.0
L1,P08922,250,5,245,1020,20,1000,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P08922,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P08922/P08922_pocket.lmdb,10,12187684854192838360,20260908,1.0
L1,P09619,250,5,245,969,19,950,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P09619,unavailable,FileNotFoundError: Pocket absent from dataset and source archive,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P09619/P09619_pocket.lmdb,10,15642742083920968031,20260908,
L1,P09874,250,5,245,8160,160,8000,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P09874,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P09874/P09874_pocket.lmdb,10,15558966578184115263,20260908,2.0
L1,P0C6U8,250,5,245,612,12,600,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P0C6U8,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P0C6U8/P0C6U8_pocket.lmdb,10,3550423819220839861,20260908,3.0
L1,P0DMS8,250,5,245,3519,69,3450,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P0DMS8,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P0DMS8/P0DMS8_pocket.lmdb,10,9753862157729333716,20260908,4.0
L1,P0DTD1,250,5,245,21420,420,21000,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P0DTD1,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P0DTD1/P0DTD1_pocket.lmdb,10,931657578595864563,20260908,5.0
L1,P10275,250,5,245,765,15,750,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P10275,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P10275/P10275_pocket.lmdb,10,13140323991326755058,20260908,6.0
L1,P10415,250,5,245,714,14,700,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P10415,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P10415/P10415_pocket.lmdb,10,9368990764446564233,20260908,7.0
L1,P10721,250,5,245,1989,39,1950,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P10721,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P10721/P10721_pocket.lmdb,10,14620201092211337291,20260908,0.0
L1,P11275,250,5,245,663,13,650,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P11275,unavailable,FileNotFoundError: Pocket absent from dataset and source archive,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P11275/P11275_pocket.lmdb,10,6547185066950920493,20260908,
L1,P11309,250,5,245,2805,55,2750,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P11309,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P11309/P11309_pocket.lmdb,10,8978215534285543289,20260908,1.0
L1,P11362,250,5,245,2856,56,2800,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P11362,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P11362/P11362_pocket.lmdb,10,2241686177004026366,20260908,2.0
L1,P11511,250,5,245,714,14,700,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P11511,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P11511/P11511_pocket.lmdb,10,7813119257162198687,20260908,3.0
L1,P11802,250,5,245,3621,71,3550,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P11802,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P11802/P11802_pocket.lmdb,10,8642094442006211503,20260908,4.0
L1,P12931,250,5,245,4641,91,4550,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P12931,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P12931/P12931_pocket.lmdb,10,9363707723172848883,20260908,5.0
L1,P13569,250,5,245,1020,20,1000,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P13569,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P13569/P13569_pocket.lmdb,10,11991757413427996050,20260908,6.0
L1,P14324,250,5,245,510,10,500,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P14324,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P14324/P14324_pocket.lmdb,10,6707122331953065266,20260908,7.0
L1,P14618,250,5,245,612,12,600,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P14618,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P14618/P14618_pocket.lmdb,10,2582708160778688798,20260908,0.0
L1,P14679,250,5,245,561,11,550,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P14679,unavailable,FileNotFoundError: Pocket absent from dataset and source archive,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P14679/P14679_pocket.lmdb,10,16384475307151151780,20260908,
L1,P14867,250,5,245,2295,45,2250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P14867,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P14867/P14867_pocket.lmdb,10,4323836220936606938,20260908,1.0
