layer,uniprot,n,n_actives,n_decoys,source_n,source_n_actives,source_n_decoys,target_dir,status,reason,pocket_source,n_chunks,sampling_seed,seed_base,lane,sampled_from_n,previous_target_dir,n_cached_scores,n_cached_poses
L1,O96013,30,5,25,1071,21,1050,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/O96013,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O96013/O96013_pocket.lmdb,3,17336496537451553048,20260908,2.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O96013,0,0
L1,O96028,30,5,25,1122,22,1100,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/O96028,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O96028/O96028_pocket.lmdb,3,3048111964267687210,20260908,3.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O96028,0,0
L1,P00338,30,5,25,561,11,550,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P00338,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00338/P00338_pocket.lmdb,3,4333119216344094730,20260908,4.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00338,0,0
L1,P00352,30,5,25,510,10,500,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P00352,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00352/P00352_pocket.lmdb,3,16378012723470056894,20260908,5.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00352,0,0
L1,P00491,30,5,25,1326,26,1300,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P00491,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00491/P00491_pocket.lmdb,3,8608087045306276228,20260908,6.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00491,0,0
L1,P00519,30,5,25,2397,47,2350,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P00519,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00519/P00519_pocket.lmdb,3,7236740589603652425,20260908,7.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00519,0,0
L1,P00533,30,5,25,23817,467,23350,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P00533,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00533/P00533_pocket.lmdb,3,4215202593132962652,20260908,0.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00533,0,0
L1,P00734,30,5,25,7599,149,7450,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P00734,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00734/P00734_pocket.lmdb,3,3870167687729802137,20260908,1.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00734,0,0
L1,P00742,30,5,25,1020,20,1000,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P00742,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00742/P00742_pocket.lmdb,3,9152961267191356409,20260908,2.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00742,0,0
L1,P00915,30,5,25,8619,169,8450,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P00915,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00915/P00915_pocket.lmdb,3,15063379883711795559,20260908,3.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00915,0,0
L1,P00918,30,5,25,12495,245,12250,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P00918,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00918/P00918_pocket.lmdb,3,8606570175489145142,20260908,4.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00918,0,0
L1,P00956,30,5,25,3978,78,3900,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P00956,unavailable,FileNotFoundError: Pocket absent from dataset and source archive,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P00956/P00956_pocket.lmdb,3,2153662044724881701,20260908,,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P00956,0,0
L1,P01116,30,5,25,2601,51,2550,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P01116,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P01116/P01116_pocket.lmdb,3,15258448098265898858,20260908,5.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P01116,0,0
L1,P03372,30,5,25,2040,40,2000,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P03372,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P03372/P03372_pocket.lmdb,3,5255791234750999633,20260908,6.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P03372,0,0
L1,P04049,30,5,25,867,17,850,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P04049,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P04049/P04049_pocket.lmdb,3,6284142964695419430,20260908,7.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P04049,0,0
L1,P04626,30,5,25,4896,96,4800,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P04626,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P04626/P04626_pocket.lmdb,3,7056789626602940360,20260908,0.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P04626,0,0
L1,P04629,30,5,25,3264,64,3200,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P04629,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P04629/P04629_pocket.lmdb,3,539726108730503137,20260908,1.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P04629,0,0
L1,P04798,30,5,25,3213,63,3150,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P04798,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P04798/P04798_pocket.lmdb,3,242670302353792449,20260908,2.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P04798,0,0
L1,P05089,30,5,25,2907,57,2850,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P05089,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P05089/P05089_pocket.lmdb,3,6581063302482890142,20260908,3.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P05089,0,0
L1,P05177,30,5,25,2142,42,2100,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P05177,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P05177/P05177_pocket.lmdb,3,4350113049697559551,20260908,4.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P05177,0,0
L1,P05771,30,5,25,561,11,550,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P05771,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P05771/P05771_pocket.lmdb,3,15663985141827934131,20260908,5.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P05771,0,0
L1,P05979,30,5,25,1530,30,1500,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P05979,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P05979/P05979_pocket.lmdb,3,16707565058166564221,20260908,6.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P05979,0,0
L1,P06213,30,5,25,663,13,650,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P06213,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P06213/P06213_pocket.lmdb,3,14553192873113400680,20260908,7.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P06213,0,0
L1,P06239,30,5,25,3468,68,3400,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P06239,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P06239/P06239_pocket.lmdb,3,12044979987138684680,20260908,0.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P06239,0,0
L1,P06276,30,5,25,2499,49,2450,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P06276,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P06276/P06276_pocket.lmdb,3,18294982919993367589,20260908,1.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P06276,0,0
L1,P06493,30,5,25,1887,37,1850,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P06493,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P06493/P06493_pocket.lmdb,3,16044884347380515463,20260908,2.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P06493,0,0
L1,P07333,30,5,25,5253,103,5150,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P07333,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P07333/P07333_pocket.lmdb,3,955744693377852469,20260908,3.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P07333,0,0
L1,P07550,30,5,25,612,12,600,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P07550,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P07550/P07550_pocket.lmdb,3,15888067529059947172,20260908,4.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P07550,0,0
L1,P07711,30,5,25,2091,41,2050,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P07711,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P07711/P07711_pocket.lmdb,3,10237000643896365437,20260908,5.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P07711,0,0
L1,P07900,30,5,25,1479,29,1450,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P07900,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P07900/P07900_pocket.lmdb,3,6840055668921859817,20260908,6.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P07900,0,0
L1,P07947,30,5,25,2244,44,2200,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P07947,unavailable,FileNotFoundError: Pocket absent from dataset and source archive,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P07947/P07947_pocket.lmdb,3,11669589164556104939,20260908,,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P07947,0,0
L1,P07948,30,5,25,663,13,650,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P07948,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P07948/P07948_pocket.lmdb,3,7065621706641045867,20260908,7.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P07948,0,0
L1,P07949,30,5,25,2091,41,2050,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P07949,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P07949/P07949_pocket.lmdb,3,16602669743157485778,20260908,0.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P07949,0,0
L1,P08069,30,5,25,2040,40,2000,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/P08069,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/P08069/P08069_pocket.lmdb,3,15355487645435218309,20260908,1.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/P08069,0,0
