mol_id,source_index,label,paff,formal_charge,smina_affinity_kcal_mol,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_eV,aimnet_interaction_kcal_mol,aimnet_score,aimnet_rank,smina_rank
111873,55,1,8.0,0,-8.41119,-233074.3430523675,-194591.70551983043,-38480.3397779895,-2.297754547573277,-52.98747864733587,52.98747864733587,15.0,22.0
44050,123,0,,0,-9.88839,-245448.35913746184,-194591.70551983043,-50854.36690417147,-2.2867134599437122,-52.732865117952244,52.732865117952244,16.0,1.0
109201,67,0,,0,-7.72881,-263211.59925447864,-194591.70551983043,-68617.7658911121,-2.1278435361164156,-49.06923764068607,49.06923764068607,17.0,41.0
38849,19,1,8.0,0,-7.92268,-246961.38132478975,-194591.70551983043,-52367.576042296976,-2.0997626623429824,-48.42167730790824,48.42167730790824,18.0,37.0
132853,15,1,8.0,0,-8.60443,-240270.27317036368,-194591.70551983043,-45676.49060786795,-2.077042665303452,-47.897741729466624,47.897741729466624,19.0,15.0
108281,151,0,,0,-7.29782,-274675.5826298889,-194591.70551983043,-80081.91121578428,-1.965894274195307,-45.3345989400209,45.3345989400209,20.0,50.0
52055,187,0,,0,-7.43784,-261911.83854675532,-194591.70551983043,-67318.17692536708,-1.9561015578074148,-45.108773535366225,45.108773535366225,21.0,45.0
70447,211,0,,0,-7.04455,-237883.5647620192,-194591.70551983043,-43290.0219048271,-1.8373373616705067,-42.37000610978604,42.37000610978604,22.0,52.0
86255,231,0,,0,-9.2288,-243258.12321253552,-194591.70551983043,-48664.64629442778,-1.7713982773057069,-40.84941470088435,40.84941470088435,23.0,4.0
69657,159,0,,0,-8.18679,-247986.9781426615,-194591.70551983043,-53393.517011274664,-1.7556115564148058,-40.4853642686911,40.4853642686911,24.0,29.0
32669,119,0,,0,-9.49988,-234261.4347716011,-194591.70551983043,-39668.13471050459,-1.5945412660876173,-36.77099513450928,36.77099513450928,25.0,3.0
93588,3,1,8.0,0,-8.16784,-230518.53771478924,-194591.70551983043,-35925.24250268424,-1.5896922745741904,-36.65917473378363,36.65917473378363,26.0,30.0
89845,7,1,8.0,0,-8.28413,-233616.31400789713,-194591.70551983043,-39023.031329520265,-1.5771585464390228,-36.37014009662662,36.37014009662662,27.0,27.0
140342,111,0,,0,-4.7643,-215698.81622066352,-194591.70551983043,-21105.57264696499,-1.538053868098359,-35.46836479135078,35.46836479135078,28.0,61.0
125142,71,0,,0,-8.84528,-273566.52774116374,-194591.70551983043,-78973.3119119501,-1.5103093832003651,-34.828561770324704,34.828561770324704,29.0,9.0
109281,235,0,,0,-6.84819,-249317.80781114192,-194591.70551983043,-54724.61583982195,-1.4864514895380125,-34.2783856723862,34.2783856723862,30.0,56.0
47560,127,0,,0,-6.87224,-246588.3881771001,-194591.70551983043,-51995.198447810646,-1.4842094590276247,-34.22668322056369,34.22668322056369,31.0,54.0
26394,155,0,,0,-7.4164,-238404.96504801695,-194591.70551983043,-43811.78936233418,-1.4701658523408696,-33.902829956849374,33.902829956849374,32.0,46.0
106823,63,0,,0,-8.93478,-230627.66777557266,-194591.70551983043,-36034.49285364142,-1.4694021008035634,-33.885217427992615,33.885217427992615,33.0,8.0
3204,227,0,,0,-6.99335,-234913.7204560817,-194591.70551983043,-40320.55001868582,-1.4649175654558348,-33.78180158610822,33.78180158610822,34.0,53.0
11553,91,0,,0,-8.02529,-225599.37766178808,-194591.70551983043,-31006.216596192644,-1.4555457650058088,-33.56568273357138,33.56568273357138,35.0,34.0
116841,139,0,,0,-8.14995,-230119.15634034207,-194591.70551983043,-35526.01972527496,-1.431095236686815,-33.00184015578732,33.00184015578732,36.0,31.0
136414,43,1,8.0,0,-8.95921,-240293.49817204016,-194591.70551983043,-45700.37541711222,-1.417235097505909,-32.682217753267,32.682217753267,37.0,7.0
108300,223,0,,0,-7.98919,-231477.02649616855,-194591.70551983043,-36883.996017855854,-1.3249584822624456,-30.554268453797484,30.554268453797484,38.0,35.0
46322,219,0,,0,-8.29463,-241878.62317777483,-194591.70551983043,-47285.60470581051,-1.312952133892395,-30.27739548293886,30.27739548293886,39.0,26.0
127179,83,0,,0,-7.72732,-226300.49249818307,-194591.70551983043,-31707.49075464506,-1.2962237075807934,-29.891628807849184,29.891628807849184,40.0,42.0
104488,47,1,8.0,0,-8.50031,-230520.1497779372,-194591.70551983043,-35927.14928791595,-1.294970190807362,-29.862722024338986,29.862722024338986,41.0,19.0
37851,11,1,8.0,0,-8.48264,-232582.34150543474,-194591.70551983043,-37989.344833374314,-1.2911522299982607,-29.77467775648528,29.77467775648528,42.0,21.0
92627,191,0,,0,-8.58586,-247055.91748402917,-194591.70551983043,-52462.938812938024,-1.2731512607133482,-29.359565543293048,29.359565543293048,43.0,16.0
77086,239,0,,0,-7.89307,-236124.29958204765,-194591.70551983043,-41531.38432142092,-1.2097407963010482,-27.89728549575144,27.89728549575144,44.0,38.0
80795,35,1,8.0,0,-8.52265,-230539.02633251398,-194591.70551983043,-35946.15996406485,-1.1608486187033122,-26.769805095715732,26.769805095715732,45.0,18.0
70948,195,0,,0,-8.26609,-347459.75994389254,-194591.70551983043,-152866.96072047972,-1.093703582388116,-25.221403774180498,25.221403774180498,46.0,28.0
100237,95,0,,0,-8.70611,-247709.76798709854,-194591.70551983043,-53117.02188324428,-1.0405840238381643,-23.99643765349797,23.99643765349797,47.0,13.0
141261,171,0,,0,-6.64788,-252065.8041258698,-194591.70551983043,-57473.12008549336,-0.9785205459993449,-22.565219854261315,22.565219854261315,48.0,57.0
77944,207,0,,0,-8.04695,-248203.27645816415,-194591.70551983043,-53610.6025162773,-0.9684220564231509,-22.332343152372484,22.332343152372484,49.0,33.0
124026,115,0,,0,-7.74724,-241878.27911803158,-194591.70551983043,-47285.63986457885,-0.9337336223034072,-21.53240885818486,21.53240885818486,50.0,40.0
52721,215,0,,0,-8.65083,-239187.8447318138,-194591.70551983043,-44595.232130639226,-0.9070813441358041,-20.917792722705883,20.917792722705883,51.0,14.0
47922,87,0,,0,-8.82284,-247521.51357646965,-194591.70551983043,-52928.902090914766,-0.9059657244506525,-20.892065921595666,20.892065921595666,52.0,10.0
24280,103,0,,0,-7.083,-277415.5848192674,-194591.70551983043,-82822.98758751707,-0.8917119198886212,-20.563365379724647,20.563365379724647,53.0,51.0
131800,163,0,,0,-7.33241,-243012.7985585033,-194591.70551983043,-48420.21736152913,-0.8756771437401767,-20.193594657400176,20.193594657400176,54.0,49.0
82534,51,1,8.0,0,-8.08159,-232111.03681525294,-194591.70551983043,-37518.46902395464,-0.8622714678713237,-19.884452427824716,19.884452427824716,55.0,32.0
68382,179,0,,0,-8.49623,-233524.683708665,-194591.70551983043,-38932.157329792484,-0.8208590420763358,-18.929459201997435,18.929459201997435,56.0,20.0
9163,99,0,,0,-7.83645,-223039.9996625611,-194591.70551983043,-28447.48741597646,-0.8067267542210175,-18.60356090195379,18.60356090195379,57.0,39.0
117103,135,0,,0,-5.89029,-238980.7927772619,-194591.70551983043,-44388.32832492128,-0.7589325101944269,-17.501399451550324,17.501399451550324,58.0,60.0
138088,199,0,,0,-6.1608,-254904.9259973876,-194591.70551983043,-60312.486053682675,-0.7344238744844915,-16.936216885498144,16.936216885498144,59.0,59.0
99245,143,0,,0,-6.33347,-233795.5236995078,-194591.70551983043,-39203.222107990994,-0.5960716863628477,-13.745739633848176,13.745739633848176,60.0,58.0
75565,23,1,8.0,0,-8.52544,-240292.43463969338,-194591.70551983043,-45700.27785998314,-0.4512598798100953,-10.406300042400083,10.406300042400083,61.0,17.0
111991,167,0,,0,-8.37669,-255158.2759849328,-194591.70551983043,-60566.16875370688,-0.40171139550511725,-9.263684850150463,9.263684850150463,62.0,24.0
