layer,uniprot,mol_id,paff,pocket_charge,smina_affinity_kcal_mol,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A,eint_rank,smina_rank
L2,P43405,67215,6.7235,0,-8.19159,,-54.94553913172285,-40.60723895187434,-568042.4392959399,-533832.3117286242,-34207.74490322918,-568039.4091992746,588,0.001979962689802,True,3.2785183591171,3.073145007813117,9.0,7.0
L2,P43405,73311,7.0605,0,-8.24537,,-61.96136480154805,-46.0096391971178,-570618.6101367967,-533832.3117286242,-36783.61150909034,-570616.83438819,437,0.0019621534738689,True,2.9729272997880325,2.9845075588622207,5.0,5.0
L2,P43405,91792,6.7328,0,-8.37726,,-68.04203544915049,-44.68681774326514,-576017.6469361573,-533832.3117286242,-42182.38462561505,-576014.0837684651,802,0.0017977551324293,True,2.855380566109724,2.9211980171043663,3.0,4.0
L2,P43405,113757,7.6778,0,-7.58488,,-51.831716069541066,-39.61279552013848,-571593.7847274421,-533832.3117286242,-37759.225362879246,-571590.3922497198,640,0.001832089968957,True,2.838490109270964,3.12461843929236,10.0,10.0
L2,P43405,130651,7.8761,0,-8.63796,,-79.96810200961684,-49.51037693533947,-572029.8361994623,-533832.3117286242,-38194.05672572657,-572027.0049686022,394,0.0017969423206523,True,2.8890797571682607,2.864109041472493,2.0,2.0
L2,P56817,9611,9.2411,-1,-7.7042,,-56.83252387537053,-42.1976352222621,-762202.2178298665,-711470.8198649128,-50728.93347346402,-762198.7934903615,523,0.0019474518485367,True,2.788655226211952,2.789940746198949,7.0,10.0
L2,P56817,13349,8.5884,-1,-7.95742,,-55.94426029359318,-36.25215734207097,-770967.4859590462,-711470.8198649128,-59494.240121398296,-770963.1109677753,405,0.0017683502519503,True,2.9031660396943604,2.8979484972124925,9.0,8.0
L2,P56817,17219,8.8182,-1,-8.85277,,-70.13033043953708,-39.1108916306753,-771375.1098830497,-711470.8198649128,-59901.24887917727,-771371.8087067249,754,0.0019641504622995,True,2.798575795016953,2.785286659441004,3.0,2.0
L2,P56817,37944,8.8097,-1,-8.33501,,-73.74464213626304,-57.441209326013485,-772903.564741394,-711470.8198649128,-61429.54700613237,-772900.1604548467,897,0.0014590352075174,True,2.766507854131007,2.8161264583598875,1.0,5.0
L2,P56817,46757,6.1586,-1,-8.05482,,-64.31228602319928,-48.48520901251313,-748354.8364596113,-711470.8198649128,-36881.2277500234,-748352.9968252621,293,0.001957943663001,True,2.901072223967584,2.9029290874573563,6.0,7.0
L2,P56817,66568,8.7959,-1,-8.15579,,-65.91731786056887,-35.938922433928134,-772902.5267860255,-711470.8198649128,-61428.84847566968,-772898.0866849785,528,0.0018555966671556,True,2.732102310654344,2.8598470269169383,5.0,6.0
L2,P56817,67242,8.7959,-1,-7.82347,,-66.38275286226703,-38.1561309389547,-771369.3656786191,-711470.8198649128,-59895.66718509138,-771366.103630734,470,0.0015448804479092,True,2.738042362891304,2.8549295114300666,4.0,9.0
L2,P56817,84180,7.4559,-1,-8.66795,,-54.347094322337526,-36.09943342260586,-759742.1720148931,-711470.8198649128,-48268.99543691694,-759738.6245190357,733,0.00138842232991,True,2.787888583373165,2.905594713417324,10.0,3.0
L2,P56817,97357,8.109,-1,-9.05602,,-71.2111510689603,-42.85802193427476,-772092.66007798,-711470.8198649128,-60618.75220528912,-772088.8203244952,997,0.0017224199837073,True,2.833341061502449,2.6056448106986534,2.0,1.0
L2,P56817,107160,7.9788,-1,-8.61655,,-56.73111553204505,-37.74031347585282,-764491.690658069,-711470.8198649128,-53018.41069914853,-764488.2214013875,647,0.0019372917013242,True,2.996805599415803,2.802227628425606,8.0,4.0
L2,Q06187,9210,8.2596,1,-10.63622,,-64.25160774435514,-45.60084583858998,-695100.9026728722,-646372.8546113443,-48725.26184811197,-695099.1445947265,659,0.0019705600570887,True,3.0782703747369164,3.111701393226977,5.0,6.0
L2,Q06187,21421,9.0,1,-10.04717,,-79.1961389833271,-51.37981245369542,-690081.0178272986,-646372.8546113443,-43704.7289463279,-690075.3565044975,555,0.0019664179999381,True,2.929408623013703,2.995883708717253,1.0,9.0
L2,Q06187,89453,9.0,1,-10.186,,-59.76604905823206,-43.08058177169816,-703456.4628759475,-646372.8546113443,-57081.016563421705,-703454.6067455932,356,0.0019950582645833,True,2.799004154371857,2.801229571160967,9.0,8.0
L2,Q06187,108091,9.0,1,-10.58025,,-40.15753883026664,-11.088269022039729,-692674.7459471241,-646372.8546113443,-46300.14994007987,-692672.6426329385,359,0.0019726085010915,True,2.878678525781188,2.939816564646482,10.0,7.0
