model,dataset,geometry,reference,n,mae,rmse,bias,max_abs_error,pearson,spearman
aimnet2_2025_full_coulomb,KIN66,released_xyz,int_b973c,66,2.7639581575349688,3.493606091753776,2.609984423293741,7.962846822452015,0.9763999576888686,0.9562884876317714
aimnet2_2025_full_coulomb,KIN66,released_xyz,int_wb97m,66,10.834771606172527,11.444954361881237,10.834771606172527,21.678162582748755,0.9623531287436381,0.945350172215844
aimnet2_2025_full_coulomb,KIN66,released_xyz,int_wb97m_dzvpd,20,17.381969447387366,17.901437216406592,17.381969447387366,24.287361182748754,0.9405367485172555,0.918796992481203
aimnet2_2025_full_coulomb,KIN66,released_xyz,int_wb97m_dzvpd_estimated,50,11.991924635621883,12.072083424163724,11.991924635621883,15.298351044924829,0.9785483298892431,0.969267707082833
aimnet2_2025_full_coulomb,KIN66,released_xyz,AIMNet2_2025_interaction,66,0.7923418579066941,0.958028038330838,0.06551583935434703,3.014519092748756,0.9961757563784636,0.990314163448492
aimnet2_2025_full_coulomb,PLA15,matched_complex_coordinates,int_b973c,15,4.167942912931064,5.396574342648775,3.0030715615023102,11.942819811812285,0.9977048463952194,0.982142857142857
aimnet2_2025_full_coulomb,PLA15,matched_complex_coordinates,int_wb97m,15,17.714257107502313,19.062924421108136,17.714257107502313,34.53629061181229,0.9951689959080453,0.95
aimnet2_2025_full_coulomb,PLA15,matched_complex_coordinates,int_wb97m_dzvpd,15,21.123712739502313,22.692285178654572,21.123712739502313,36.74351691181229,0.9927949714414,0.95
aimnet2_2025_full_coulomb,PLA15,matched_complex_coordinates,AIMNet2_2025_interaction,15,1.789885720151474,2.3102962106031804,0.08500687350231194,5.786660724363962,0.9995610484117309,0.9892857142857142
aimnet2_2025_full_coulomb,PLA15,matched_complex_coordinates,PLA15_reference_interaction,15,9.41853149816898,10.956203558212646,9.41853149816898,20.92238391181229,0.9964327286619336,0.9749999999999999
aimnet2_2025_full_coulomb,PLA15,released_xyz,int_b973c,15,4.167943809358519,5.396486890119653,3.0031476536064967,11.942820165508493,0.9977050046265614,0.982142857142857
aimnet2_2025_full_coulomb,PLA15,released_xyz,int_wb97m,15,17.714333199606493,19.06300255104567,17.714333199606493,34.5362909655085,0.99516897896346,0.95
aimnet2_2025_full_coulomb,PLA15,released_xyz,int_wb97m_dzvpd,15,21.1237888316065,22.692375728396993,21.1237888316065,36.7435172655085,0.9927948822452175,0.95
aimnet2_2025_full_coulomb,PLA15,released_xyz,AIMNet2_2025_interaction,15,1.7898114169312256,2.310249105645925,0.08508296560649835,5.786778509223652,0.9995610659272465,0.9892857142857142
aimnet2_2025_full_coulomb,PLA15,released_xyz,PLA15_reference_interaction,15,9.418607590273165,10.956294130569441,9.418607590273165,20.922384265508498,0.9964326648298132,0.9749999999999999
aimnet2_2025_member1,KIN66,matched_complex_coordinates,int_b973c,66,4.576540355896033,5.537911758649778,4.549876582819563,12.1051708848046,0.9577203412485095,0.9103642626030687
aimnet2_2025_member1,KIN66,matched_complex_coordinates,int_wb97m,66,12.774663765698351,13.458843815087565,12.774663765698351,24.177601804804603,0.9539803544022424,0.9191733639494835
aimnet2_2025_member1,KIN66,matched_complex_coordinates,int_wb97m_dzvpd,20,20.109805143469554,20.595685170926863,20.109805143469554,27.56201596480461,0.9380992750016415,0.9293233082706768
aimnet2_2025_member1,KIN66,matched_complex_coordinates,int_wb97m_dzvpd_estimated,50,13.668505405416195,13.768670807658404,13.668505405416195,17.714764632038353,0.9696373652480017,0.9471788715486195
aimnet2_2025_member1,KIN66,matched_complex_coordinates,AIMNet2_2025_interaction,66,2.187162417569972,2.8428133770188895,2.0054079988801687,5.804778377739439,0.9833800915589054,0.9541175242667781
aimnet2_2025_member1,KIN66,released_xyz,int_b973c,66,4.576045244473212,5.539775032508636,4.547185764805249,12.11388546658197,0.9574741991179438,0.9112409978081621
aimnet2_2025_member1,KIN66,released_xyz,int_wb97m,66,12.771972947684036,13.458462961313337,12.771972947684036,24.18631638658197,0.9536949225158905,0.9192568625404448
aimnet2_2025_member1,KIN66,released_xyz,int_wb97m_dzvpd,20,20.11726300364867,20.603395417498678,20.11726300364867,27.570730546581977,0.9379409838602061,0.9293233082706768
aimnet2_2025_member1,KIN66,released_xyz,int_wb97m_dzvpd_estimated,50,13.662667309117944,13.763617369383725,13.662667309117944,17.733176428555367,0.9694053481003312,0.9473709483793517
aimnet2_2025_member1,KIN66,released_xyz,AIMNet2_2025_interaction,66,2.186855296177921,2.8435546081533642,2.0027171808658553,5.769340504482088,0.983292089246663,0.9546185158125459
aimnet2_2025_member1,PLA15,matched_complex_coordinates,int_b973c,15,5.644206368283275,6.6652640777033945,4.082287985391959,11.714387871684863,0.9970123005877991,0.9928571428571428
aimnet2_2025_member1,PLA15,matched_complex_coordinates,int_wb97m,15,18.793473531391964,20.145339569224515,18.793473531391964,32.45597173008818,0.9958483917363014,0.9678571428571429
aimnet2_2025_member1,PLA15,matched_complex_coordinates,int_wb97m_dzvpd,15,22.20292916339196,23.50227072684482,22.20292916339196,34.04545204328389,0.9946604123767953,0.9749999999999999
aimnet2_2025_member1,PLA15,matched_complex_coordinates,AIMNet2_2025_interaction,15,2.497334177903717,2.9242545498861277,1.1642232973919604,5.9373452112591,0.9991569559609543,1.0
aimnet2_2025_member1,PLA15,matched_complex_coordinates,PLA15_reference_interaction,15,10.497747922058627,11.6040356486281,10.497747922058627,18.813095430088197,0.9974757605290123,0.9892857142857142
aimnet2_2025_member1,PLA15,released_xyz,int_b973c,15,5.6443702587618505,6.664998724876424,4.082916207026681,11.71090538801377,0.9970131901195943,0.9928571428571428
aimnet2_2025_member1,PLA15,released_xyz,int_wb97m,15,18.79410175302668,20.14586778544948,18.79410175302668,32.455953352147986,0.9958483120517669,0.9678571428571429
aimnet2_2025_member1,PLA15,released_xyz,int_wb97m_dzvpd,15,22.203557385026684,23.50297565208123,22.203557385026684,34.04509031627293,0.9946595233163447,0.9749999999999999
aimnet2_2025_member1,PLA15,released_xyz,AIMNet2_2025_interaction,15,2.4971743284209382,2.9239901547797627,1.1648515190266822,5.937353420769256,0.9991572862450545,1.0
aimnet2_2025_member1,PLA15,released_xyz,PLA15_reference_interaction,15,10.49837614369335,11.604623130351335,10.49837614369335,18.813077052148003,0.9974755636192034,0.9892857142857142
aimnet2_2025_member2,KIN66,matched_complex_coordinates,int_b973c,66,2.6982010080359546,3.1387021679129417,2.1326241822076835,6.581172617263007,0.987931582294517,0.9693977664126919
aimnet2_2025_member2,KIN66,matched_complex_coordinates,int_wb97m,66,10.357411365086469,10.80582495463726,10.357411365086469,16.138967948917227,0.9664583222359547,0.9278154681139757
aimnet2_2025_member2,KIN66,matched_complex_coordinates,int_wb97m_dzvpd,20,13.457269132487934,13.87294426569638,13.457269132487934,17.966596152558708,0.9632881371057336,0.9293233082706768
aimnet2_2025_member2,KIN66,matched_complex_coordinates,int_wb97m_dzvpd_estimated,50,12.837346844574547,13.246745999196689,12.837346844574547,18.934203750314666,0.9228793971656462,0.8743817527010804
aimnet2_2025_member2,KIN66,matched_complex_coordinates,AIMNet2_2025_interaction,66,2.3744368457765774,2.6512988548732994,-0.4118444017317106,6.286868680786711,0.9866717003254261,0.9689385241624048
aimnet2_2025_member2,KIN66,released_xyz,int_b973c,66,2.6945929521714325,3.1354095134273128,2.1294099216921443,6.516230790528631,0.9879409283504827,0.9696065128900951
aimnet2_2025_member2,KIN66,released_xyz,int_wb97m,66,10.354197104570932,10.802832421206427,10.354197104570932,16.101530628051854,0.9664466763367737,0.9283582089552241
aimnet2_2025_member2,KIN66,released_xyz,int_wb97m_dzvpd,20,13.463294119159887,13.878834205961343,13.463294119159887,17.971754014733165,0.9633075828291605,0.9293233082706768
