dataset,target,mol_id,aimnet_interaction_kcal_mol_delta,desolvation_kcal_mol_delta,local_strain_kcal_mol_delta,aimnet2_composite_kcal_mol_delta
t3,L1/Q06124,26663,17.189241213751497,2.7490315233080764e-06,0.0,17.189243962783017
t3,L1/Q06124,32578,-5.772568620749706,0.7782006544888436,0.0,-4.994367966260853
t3,L1/Q06124,39617,6.734548561537048,-2.0073496910676454,0.0,4.727198870469403
t3,L1/Q06124,53896,9.949043697240146,-2.749031523485712e-05,0.0,9.949016206924913
t3,L1/Q06124,82531,10.879773678554717,1.7565019390603922,0.0,12.636275617615116
t3,L1/Q06124,95742,4.663169459781088,-5.9104177756452714e-05,0.0,4.6631103556033295
t3,L1/Q06124,118200,21.92795405778601,-2.198238316514967,0.0,19.729715741271043
t3,L1/Q06124,125082,-8.39944039925566,-6.647411134819649,0.0,-15.046851534075316
t3,L1/Q06124,129145,-3.11499634511115,4.495158617630451,0.0,1.3801622725193
t3,L1/Q07343,952,-18.33954390503692,1.0996126091455949e-05,0.0,-18.33953290891082
t3,L1/Q07343,49559,3.4802072447870684,2.0617736424810573e-05,0.0,3.4802278625234955
t3,L1/Q07343,52461,-7.775564880797781,-1.9243220664044713e-05,0.0,-7.775584124018437
t3,L1/Q07343,55030,-14.43824000006446,-9.41543296821834e-05,0.0,-14.438334154394141
t3,L1/Q07343,81279,-5.416930883584683,-6.872578808270191e-07,0.0,-5.416931570842564
t3,L1/Q07343,88394,-1.8021365482667333,-3.711192556465903e-05,0.0,-1.802173660192306
t3,L1/Q07343,95919,-3.4878251524187114,6.8725788091583695e-06,0.0,-3.4878182798398996
t3,L1/Q07343,109885,-5.774464068589079,-4.123547285317386e-05,0.0,-5.7745053040619325
t3,L1/Q07343,138941,1.402521521422739,2.1992252188240968e-05,0.0,1.4025435136749262
t3,L1/Q08499,1851,-1.6845027420208125,1.1683383974059325e-05,0.0,-1.6844910586368407
t3,L1/Q08499,41381,-3.2027444001201477,3.642466768560837e-05,0.0,-3.202707975452462
t3,L1/Q08499,65435,-12.666133544303959,8.24709456992423e-06,0.0,-12.666125297209392
t3,L1/Q08499,99900,7.774844285540471,6.0478693516330395e-05,0.0,7.774904764233984
t3,L1/Q08499,113485,-11.527027654051441,-1.9930478543983554e-05,0.0,-11.527047584529992
t3,L1/Q08499,120178,3.6717387986396615,-2.886483099651116e-05,0.0,3.6717099338086694
t3,L1/Q08499,125592,-5.937775796388717,-56.368795174082344,0.0,-62.306570970471064
t3,L1/Q08499,138941,0.570770084873659,1.3745157616540382e-06,0.0,0.5707714593894231
t3,L1/Q08499,145053,1.3307501530552754,5.498063046616153e-06,0.0,1.3307556511183236
t3,L1/Q15059,10104,-3.5871342594999547,-6.322772503963847e-05,0.0,-3.5871974872249943
t3,L1/Q15059,18952,14.300526241046251,0.006919312344749073,0.0,14.307445553391002
t3,L1/Q15059,25231,-2.284920777508505,1.8992632696250986,0.0,-0.38565750788341546
t3,L1/Q15059,48671,-3.3470912349516375,0.13835050948519267,0.0,-3.208740725466445
t3,L1/Q15059,53300,-1.7910957517526178,-0.2931718413436748,0.0,-2.0842675930962926
t3,L1/Q15059,57289,41.87488349668734,-0.6143274490812232,0.0,41.260556047606116
t3,L1/Q15059,57291,6.8426463227346295,-5.772966199657503e-05,0.0,6.842588593072634
t3,L1/Q15059,110525,2.713817117652386,0.664895883956742,0.0,3.3787130016091282
t3,L1/Q15059,128831,14.821932645049056,-0.7799689690163589,0.0,14.041963676032697
t3,L1/Q15059,139243,0.79782461534848,0.008229225865715506,0.0,0.8060538412141973
t3,L1/Q6GI75,8816,-0.09932216934345561,-4.123547284962115e-06,0.0,-0.09932629289073702
t3,L1/Q6GI75,17359,6.250126271592823,1.23706418566627e-05,0.0,6.250138642234681
t3,L1/Q6GI75,19802,16.723429848597213,-1.8555962784105873e-05,0.0,16.72341129263443
t3,L1/Q6GI75,23754,5.41990636540546,-3.436289404490367e-05,0.0,5.419872002511411
t3,L1/Q6GI75,36324,11.482958271984213,4.123547285495022e-05,0.0,11.482999507457068
t3,L1/Q6GI75,37901,4.60070183860018,-0.7692793599370749,0.0,3.8314224786631073
t3,L1/Q6GI75,90964,1.71183876618408,1.5119673379970777e-05,0.0,1.7118538858574652
t3,L1/Q6GI75,104905,8.647051517319966,8.934352454303962e-06,0.0,8.647060451672413
t3,L1/Q6GI75,125406,13.492479684532448,-2.061773644257414e-06,0.0,13.492477622758805
t3,L1/Q6GI75,134127,-1.4299551328493365,6.872578810046548e-06,0.0,-1.4299482602705282
t3,L1/Q86WV6,6252,21.477757880788985,-6.872578808270191e-06,0.0,21.47775100821017
t3,L1/Q86WV6,44378,11.881876421602115,2.8864830998287516e-05,0.0,11.88190528643311
t3,L1/Q86WV6,47502,-6.027064681217631,-5.3606114708060204e-05,0.0,-6.027118287332328
t3,L1/Q86WV6,55811,12.403558756707824,-2.7490315233080764e-06,0.0,12.4035560076763
t3,L1/Q86WV6,56848,4.2585212968262525,-3.161386252159559e-05,0.0,4.258489682963734
t3,L1/Q86WV6,71154,7.632699771608451,-1.7868704903278854e-05,0.0,7.632681902903549
t3,L1/Q86WV6,76654,26.218635930441643,4.26099886148279e-05,0.0,26.218678540430254
t3,L1/Q86WV6,101630,34.249732224698185,-4.673353589979001e-05,0.0,34.24968549116228
t3,L1/Q86WV6,110106,-26.279402586689486,-233.97444186682978,0.0,-260.2538444535192
t3,L1/Q86WV6,143720,-22.187916911067443,-88.02893351694273,0.0,-110.21685042801018
t3,L1/Q86X55,15830,9.303407531157502,-8.670560884568836,0.0,0.6328466465886748
t3,L1/Q86X55,15838,25.95790300638256,1.7865708458648584,0.0,27.744473852247424
t3,L1/Q86X55,67197,-7.967651727524682,2.680305735447419e-05,0.0,-7.96762492446733
t3,L1/Q86X55,96489,-8.57515711737554,-4.5359020138135975e-05,0.0,-8.575202476395667
t3,L1/Q86X55,118699,-4.845191425664723,1.7868704903278854e-05,0.0,-4.845173556959821
t3,L1/Q86X55,122709,-7.877670781476262,-8.247094571700586e-06,0.0,-7.877679028570839
t3,L1/Q86X55,123696,6.6981214897898695,3.4362894046680026e-05,0.0,6.6981558526839144
t3,L1/Q86X55,127043,-12.661479083594163,5.910417775112364e-05,0.0,-12.661419979416408
t3,L1/Q86X55,127161,7.684393932879409,-1.5119673379970777e-05,0.0,7.684378813206038
t3,L1/Q86X55,138520,2.3436057276217,3.230112040153443e-05,0.0,2.343638028742099
t3,L1/Q8N1Q1,35301,-0.5435240810899604,-4.123547284962115e-06,0.0,-0.5435282046372443
t3,L1/Q8N1Q1,35426,-3.597690542563802,-168.44639253601252,0.0,-172.04408307857634
t3,L1/Q8N1Q1,35427,23.91847177313511,-187.88648371883437,0.0,-163.96801194569926
t3,L1/Q8N1Q1,35430,-12.737721407937936,-454.7390821364645,0.0,-467.47680354440246
t3,L1/Q8N1Q1,35431,12.226500166568787,-275.02559696708005,0.0,-262.7990968005113
t3,L1/Q8N1Q1,35432,4.701085818685,-736.9711896441374,0.0,-732.2701038254526
t3,L1/Q8N1Q1,35433,-16.781560868355054,-416.20030749379225,0.0,-432.9818683621473
t3,L1/Q8N1Q1,35468,-4.141080608366989,-97.64734810018624,0.0,-101.78842870855323
t3,L1/Q8N1Q1,35485,-11.40376073556467,-42.43856588163932,0.0,-53.84232661720398
t3,L1/Q8N1Q1,85942,19.463141124888857,-838.6273548862565,0.0,-819.1642137613677
t3,L1/Q92793,6919,6.803977760080086,-0.3410434762945975,0.0,6.462934283785492
t3,L1/Q92793,25339,-2.7493170776793203,-1.3745157618316739e-05,0.0,-2.7493308228369457
t3,L1/Q92793,32149,-2.651441591712114,-2.2965821702380875,0.0,-4.948023761950196
t3,L1/Q92793,37452,7.872471674265064,0.1320098682761497,0.0,8.004481542541212
t3,L1/Q92793,46896,27.489451697213976,-2.3995801343305523,0.0,25.089871562883417
t3,L1/Q92793,62803,-10.131782131478055,-0.7760254832958431,0.0,-10.907807614773901
t3,L1/Q92793,73412,-17.42252713492256,0.10242341650404718,0.0,-17.320103718418515
t3,L1/Q92793,95108,-6.92345960108983,0.3497757749291246,0.0,-6.573683826160703
t3,L1/Q92793,111632,-7.749336711976026,-0.4332721093935987,0.0,-8.182608821369627
t3,L1/Q92793,136992,11.027498729164122,0.23902554194027203,0.0,11.266524271104396
t3,L1/Q96MU7,23658,17.547977451562396,-1.9243220663156535e-05,0.0,17.547958208341736
t3,L1/Q96MU7,24173,5.794245086331131,3.505015192573069e-05,0.0,5.794280136483053
t3,L1/Q96MU7,43216,11.37351039687433,3.573740980478135e-05,0.0,11.373546134284133
t3,L1/Q96MU7,58793,19.30143587849339,5.841691987207298e-05,0.0,19.301494295413264
t3,L1/Q96MU7,73954,-2.434722733514647,5.772966199302232e-05,0.0,-2.4346650038526576
t3,L1/Q96MU7,75808,-1.2250893948803139,2.336676795344772e-05,0.0,-1.2250660281123658
t3,L1/Q96MU7,76036,-0.37344013695118683,-6.872578810046548e-06,0.0,-0.3734470095299969
