mol_id,source_index,label,paff,formal_charge,smina_affinity_kcal_mol,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_eV,aimnet_interaction_kcal_mol,aimnet_score,aimnet_rank,smina_rank
50514,29,1,8.0,0,-8.85267,-232583.6877723525,-194591.70549166933,-37990.20342692558,-1.7788537576270755,-41.02134216143551,41.02134216143551,87.0,34.0
13020,182,0,,0,-7.63006,-224422.7449592677,-194591.70551983043,-29829.26058780066,-1.7788516366090334,-41.02129324959751,41.02129324959751,88.0,174.0
77986,114,0,,0,-8.95752,-230117.6282105496,-194591.70551983043,-35524.14770241716,-1.7749883020005657,-40.932202637073246,40.932202637073246,89.0,26.0
7963,192,0,,0,-6.94157,-251803.91929738427,-194591.70550220693,-57210.44037764119,-1.7734175361620146,-40.89597991632264,40.89597991632264,90.0,224.0
86255,231,0,,0,-9.2288,-243258.12321253552,-194591.70551983043,-48664.64629442778,-1.7713982773057069,-40.84941470088435,40.84941470088435,91.0,9.0
42233,217,0,,0,-7.96399,-235728.88617807665,-194591.70549166933,-41135.41586166677,-1.7648247405450093,-40.69782534199796,40.69782534199796,92.0,140.0
61959,156,0,,0,-7.42223,-227978.37831768792,-194591.70550220693,-33384.90997457322,-1.7628409077806282,-40.65207707164699,40.65207707164699,93.0,188.0
72284,80,0,,0,-8.89559,-242507.5820239072,-194591.70550220693,-47914.11966605736,-1.7568556429396267,-40.51405358550216,40.51405358550216,94.0,32.0
90866,209,0,,0,-9.15655,-232494.34872083945,-194591.70549166933,-37900.8863818741,-1.7568472960192594,-40.51386110094579,40.51386110094579,95.0,14.0
69657,159,0,,0,-8.18679,-247986.9781426615,-194591.70551983043,-53393.51701127466,-1.7556115564148058,-40.4853642686911,40.4853642686911,96.0,109.0
27333,189,0,,0,-6.7659,-236641.15516958424,-194591.70549166933,-42047.69753846089,-1.7521394540162871,-40.40529568525726,40.40529568525726,97.0,229.0
99755,153,0,,0,-7.1245,-373144.3664432643,-194591.70549166933,-178550.9111563346,-1.749795260373503,-40.3512372956336,40.3512372956336,98.0,208.0
90039,166,0,,0,-7.92143,-246093.7546228192,-194591.70551983043,-51500.31371569832,-1.7353872904423042,-40.01898161589306,40.01898161589306,99.0,144.0
43002,165,0,,0,-8.28303,-242671.55242993077,-194591.70549166933,-48078.13883164765,-1.708106613761629,-39.389874266446704,39.389874266446704,100.0,96.0
106444,48,1,8.0,0,-8.46977,-231551.3124912324,-194591.70550220693,-36957.902286511504,-1.7047025139836478,-39.31137386069637,39.31137386069637,101.0,75.0
62482,46,1,8.0,0,-8.03449,-232583.0198714512,-194591.70551983043,-37989.62623934927,-1.6881122714985397,-38.92879378034696,38.92879378034696,102.0,130.0
144881,193,0,,0,-8.19771,-244771.41490305137,-194591.70549166933,-50178.02337628912,-1.686035092920065,-38.880892904385306,38.880892904385306,103.0,107.0
101552,213,0,,0,-8.01861,-235786.01353883487,-194591.70549166933,-41192.63479288978,-1.673254275759973,-38.58616025895061,38.58616025895061,104.0,135.0
66263,13,1,8.0,0,-8.36007,-234635.5726755844,-194591.70549166933,-40042.19411164579,-1.673072269288241,-38.58196309000376,38.58196309000376,105.0,88.0
29349,112,0,,0,-7.02994,-236099.18290103128,-194591.70550220693,-41505.814060149045,-1.6633386753092054,-38.35750108048638,38.35750108048638,106.0,217.0
74935,64,0,,0,-8.23031,-224918.1807252854,-194591.70550220693,-30324.81715534654,-1.6580677319398092,-38.23595023880393,38.23595023880393,107.0,102.0
35053,117,0,,0,-7.63298,-248124.3374651644,-194591.70549166933,-53530.97645320938,-1.6555202856543474,-38.17720473189211,38.17720473189211,108.0,173.0
63514,232,0,,0,-7.517,-267527.58836229803,-194591.70550220693,-72934.22851729523,-1.6543427958822576,-38.150051172682765,38.150051172682765,109.0,182.0
109965,105,0,,0,-8.04339,-247167.32658586625,-194591.70549166933,-52573.96750734812,-1.6535868487990228,-38.132618618812415,38.132618618812415,110.0,128.0
108597,238,0,,0,-6.99875,-239097.0847334984,-194591.70551983043,-44503.7349383061,-1.6442753618684949,-37.91789062907679,37.91789062907679,111.0,220.0
79974,9,1,8.0,0,-8.27082,-233616.29170595232,-194591.70549166933,-39022.94371831452,-1.6424959684663918,-37.87685684241811,37.87685684241811,112.0,97.0
67081,65,0,,0,-7.71674,-252529.98435822228,-194591.70549166933,-57936.63864564481,-1.64022090814251,-37.824392705001685,37.824392705001685,113.0,164.0
22829,205,0,,0,-7.61774,-250185.15362670543,-194591.70549166933,-55591.8084467437,-1.6396882924018428,-37.81211029423869,37.81211029423869,114.0,177.0
122178,25,1,8.0,0,-8.52338,-242333.6333608783,-194591.70549166933,-47740.29288564762,-1.634983561350964,-37.7036166188097,37.7036166188097,115.0,66.0
11311,58,0,,0,-7.71875,-248875.59902706157,-194591.70551983043,-54282.262217523545,-1.631289707569522,-37.61843432700344,37.61843432700344,116.0,162.0
63893,174,0,,0,-6.65618,-314361.29438413534,-194591.70551983043,-119767.9677186386,-1.6211456663004356,-37.3845071781219,37.3845071781219,117.0,231.0
28387,100,0,,0,-7.86186,-230314.30629064143,-194591.70550220693,-35720.990313043905,-1.610475390596548,-37.13844477488652,37.13844477488652,118.0,147.0
32669,119,0,,0,-9.49988,-234261.4347716011,-194591.70551983043,-39668.13471050459,-1.5945412660876173,-36.77099513450928,36.77099513450928,119.0,6.0
93588,3,1,8.0,0,-8.16784,-230518.53771478924,-194591.70551983043,-35925.24250268424,-1.5896922745741904,-36.65917473378363,36.65917473378363,120.0,112.0
29420,36,1,8.0,0,-8.15316,-229487.15433068076,-194591.70550220693,-34893.8643294748,-1.5844989990073373,-36.53941495417663,36.53941495417663,121.0,116.0
89845,7,1,8.0,0,-8.28413,-233616.31400789716,-194591.70551983043,-39023.031329520265,-1.5771585464390228,-36.37014009662662,36.37014009662662,122.0,95.0
33686,164,0,,0,-8.14723,-231646.76216712705,-194591.70550220693,-37053.49057024666,-1.5660946734351455,-36.115001124028815,36.115001124028815,123.0,119.0
67029,89,0,,0,-7.24458,-251365.5200303985,-194591.70549166933,-56772.25372594139,-1.560812787785835,-35.993197947377034,35.993197947377034,124.0,205.0
62599,49,1,8.0,0,-8.18193,-231549.11659063151,-194591.70549166933,-36955.85642664932,-1.554672312864568,-35.85159523175244,35.85159523175244,125.0,110.0
21479,206,0,,0,-7.37109,-237120.88852617785,-194591.70551983043,-42527.63197778505,-1.5510285623386153,-35.767568348465865,35.767568348465865,126.0,194.0
140342,111,0,,0,-4.7643,-215698.81622066352,-194591.70551983043,-21105.57264696499,-1.538053868098359,-35.46836479135078,35.46836479135078,127.0,247.0
4333,122,0,,0,-8.19298,-245279.67210163796,-194591.70551983043,-50686.43648801575,-1.5300937917563715,-35.284801070131,35.284801070131,128.0,108.0
99054,222,0,,0,-8.56736,-237403.84715606863,-194591.70551983043,-42810.62018291947,-1.521453318760905,-35.085547029339864,35.085547029339864,129.0,60.0
125142,71,0,,0,-8.84528,-273566.52774116374,-194591.70551983043,-78973.3119119501,-1.5103093832003651,-34.828561770324704,34.828561770324704,130.0,35.0
59285,180,0,,0,-7.00096,-249512.0051244674,-194591.70550220693,-54918.789322386416,-1.5102998740549085,-34.82834248422107,34.82834248422107,131.0,219.0
